Date,Open,High,Low,Close
2023-01-03,130.28,130.90,124.17,125.07
2023-01-04,126.89,128.66,125.08,126.36
2023-01-05,127.13,127.77,124.76,125.02
2023-01-06,126.01,130.29,124.89,129.62
2023-01-09,130.47,133.41,129.89,130.15
