SPY,EFA,EEM,TLT,LQD
73.181694,24.636875,11.590582,45.638824,51.019024
72.987015,24.4027,11.730794,45.415085,51.02364
73.279007,24.549067,11.727659,45.23502,50.860825
72.479561,24.422222,11.656379,45.584248,51.139973
73.02182,24.683706,11.721395,45.737057,51.18644
72.896667,24.599794,11.780139,45.906181,51.205074
71.979019,24.359774,11.607029,46.353626,51.353958
71.846947,24.051441,11.43627,46.015324,51.074818
72.006859,24.09828,11.375956,46.528252,51.44696
72.04158,24.205608,11.506769,46.435493,51.3307
73.02182,24.490519,11.664212,46.681007,51.670223
73.119148,24.461248,11.761338,46.260876,51.307396
73.272057,24.488567,11.719044,46.053501,51.237671
73.202522,24.31489,11.625045,46.484608,51.237671
73.682228,24.43782,11.902337,46.26432,51.264221
73.522331,24.572472,11.935237,46.527321,51.343624
73.577927,24.431976,11.950901,46.20953,50.984013
73.967209,24.217318,11.86552,45.776695,50.703896
73.41803,24.441727,11.878051,45.749313,50.801952
73.119148,24.238781,11.714344,45.710941,50.652477
73.098282,24.147064,11.563949,45.716423,50.871998
73.918617,24.650528,11.76996,46.050663,50.900036
73.939461,24.791039,11.860823,46.762932,51.38102
73.313782,24.623215,11.80051,47.075245,51.661182
72.945328,24.199753,11.570216,47.146473,51.759254
72.187561,24.295368,11.592931,47.436794,51.988022
72.799347,24.35392,11.517735,46.910843,51.530437
72.145866,24.197802,11.368907,47.365623,51.777946
72.444809,24.459291,11.467599,47.393024,51.950684
73.404144,24.642731,11.592149,47.004025,51.600452
73.682228,24.681761,11.632096,47.261497,51.763882
73.946388,24.89056,11.738624,47.069729,51.651863
74.001999,24.929594,11.843589,46.64238,51.394981
74.80146,25.423309,12.182758,46.382504,51.288113
74.613754,25.483797,12.128713,46.580681,51.428764
74.495583,25.534534,12.086412,46.393509,51.339653
74.80146,25.593079,12.003381,46.498123,51.381882
74.280083,25.409645,11.980665,47.241417,51.916363
74.780624,25.622353,12.004167,46.911041,51.527225
74.203606,25.515022,11.954035,46.580681,51.36314
74.196632,25.331585,11.906256,46.657776,51.48032
75.030876,25.612595,12.123229,46.99366,51.714798
75.176888,25.696507,12.178843,47.081776,51.855392
74.80146,25.524775,12.188243,47.054237,51.738201
75.190781,25.851841,12.13733,47.20842,52.514492
75.427147,25.791124,11.996335,47.527771,52.633251
76.275261,26.174995,12.189812,47.957218,52.937111
76.06292,26.028116,12.219575,47.940701,52.970333
76.593765,26.200138,12.392123,47.808582,52.870613
76.642662,26.255623,12.425953,47.268967,52.566753
76.565796,26.319046,12.466085,47.714939,52.880119
76.621666,26.271473,12.497553,47.891136,52.894367
77.641441,26.713434,12.686389,47.461685,52.789913
77.655441,26.764963,12.746969,47.268967,52.585747
77.725273,27.107822,12.907676,47.268967,52.71685
77.690338,27.181143,13.195071,46.710251,52.340218
78.5355,27.704365,13.658057,46.588566,52.397438
78.612328,27.745977,13.503731,47.103008,52.869453
78.877747,27.468512,13.535227,47.291103,52.912354
79.192024,27.862909,13.586401,47.274502,52.998131
78.500557,27.686525,13.561996,48.09874,53.427219
79.080322,27.678589,13.550187,48.06002,53.517857
78.619308,27.518061,13.473022,48.386356,53.660866
79.275864,27.755877,13.49428,48.624256,53.775303
79.471436,27.587423,13.218694,48.80682,54.018444
79.785774,27.488333,13.275381,48.463852,53.780067
79.764778,27.785618,13.661208,48.452778,53.670387
80.393394,28.122534,13.679319,48.568928,53.79435
80.183861,28.140373,13.644671,48.922974,54.06612
79.92543,27.83913,13.621837,48.336582,53.637058
80.931206,27.92831,13.712386,48.043388,53.341412
80.100029,27.805433,13.643096,48.342102,53.665634
79.185074,27.4487,13.450186,47.91618,53.241314
79.261864,27.484371,13.238375,47.816593,53.23175
79.261864,27.413034,13.220273,48.148521,53.360508
79.604126,27.349604,13.223418,48.047432,53.346153
79.471436,27.399158,13.149405,48.291832,53.456249
78.821846,27.101871,13.031293,48.197369,53.413132
79.05233,27.21484,13.027357,48.008537,53.32222
79.939369,27.728144,13.324202,48.536213,53.480171
79.960335,27.902548,13.516326,48.680672,53.705139
80.218796,28.023436,13.504514,48.408485,53.547234
81.070885,28.34054,13.713965,48.769512,53.872681
80.777542,28.092796,13.706875,48.563992,53.776951
80.414368,28.057127,13.716326,48.769512,54.083263
81.140778,28.598175,13.991908,48.736179,53.925301
80.784538,28.201801,13.801359,48.802837,53.80085
80.484215,28.390076,13.68089,48.852825,53.992348
80.239731,28.043261,13.527347,48.514027,53.72908
80.037209,28.122534,13.409241,48.813965,53.877441
79.897461,28.013536,13.338375,48.90284,53.930092
80.232765,27.805433,13.484045,48.98061,53.96843
80.281631,27.815338,13.550971,48.825077,54.00668
80.33754,28.043261,13.743095,49.247211,54.164658
81.133781,28.419809,14.056479,49.228264,54.147839
80.658829,27.96398,13.944667,48.915939,54.042099
80.805473,27.904522,13.858059,48.826729,54.018066
81.015053,27.993711,13.952538,49.044182,54.104618
81.287422,28.320713,14.003718,49.992302,54.681198
80.295624,28.138393,13.869866,50.287865,54.834946
79.974312,27.94416,13.779313,50.622509,54.945423
78.633255,27.496256,13.464355,50.589058,55.123249
77.613487,27.050341,13.173024,50.66156,54.887806
78.633255,27.28817,13.283256,50.349232,54.825336
77.66938,26.824423,13.03523,50.432892,54.887806
78.08149,27.07214,13.196645,50.851162,55.137676
78.954567,27.636971,13.377746,50.767529,55.16647
78.975494,27.627064,13.456488,50.49979,54.935844
77.843529,27.270334,13.279325,50.432892,54.849358
76.855255,26.915581,13.066726,50.739639,55.060806
76.722069,27.121695,13.198222,50.828869,55.161686
76.785156,27.014668,13.20846,50.800968,55.108833
77.801468,27.527983,13.337593,50.60574,54.959862
77.822502,27.409058,13.313181,50.070389,54.551437
78.915916,27.805433,13.484045,49.735775,54.637943
79.182297,27.864883,13.649393,49.702305,54.50341
79.273422,28.063072,13.818683,49.942112,54.700424
79.750023,28.435665,13.931285,49.778671,54.676804
80.352814,28.516922,14.07065,48.54689,53.823055
80.794373,28.516922,14.169069,48.166168,53.552975
80.535049,28.429718,14.247812,48.429333,53.803761
80.34581,28.47332,14.19663,48.317352,53.818203
80.163567,28.413858,14.208443,48.177391,53.871296
80.478996,28.598175,14.317894,48.003822,53.543289
79.350525,28.231548,14.15097,47.483124,53.205688
79.476662,27.940191,13.942308,47.443974,53.133343
79.175255,27.745977,13.826561,47.16399,52.911457
79.785088,28.043261,13.928918,47.343185,53.215347
79.785088,28.072987,13.952538,47.242401,53.118828
78.446342,27.686525,13.830498,46.811279,52.77158
78.972008,27.874798,13.728137,47.04084,52.814972
80.079475,28.072987,13.724202,47.320766,53.104378
80.156563,28.033339,13.826561,47.05204,52.877701
80.044403,28.025419,13.629711,47.130451,52.882515
80.114525,28.053171,13.557269,47.309589,53.133343
79.077133,27.535904,13.169087,46.867279,52.810184
78.383232,27.240604,12.735236,46.637726,52.573814
77.773468,27.111784,12.464374,46.82806,52.573814
78.607552,27.389242,12.589573,46.887093,52.642601
78.544434,27.738052,12.83602,46.566746,52.46822
79.049126,28.043261,12.867519,46.437443,52.390743
78.369217,27.4487,12.600595,46.313801,52.1535
77.072533,26.705503,12.317135,45.70676,51.475563
76.280495,26.021763,11.722654,45.599972,51.092968
76.925339,26.210039,12.070683,45.807949,51.194675
77.41597,26.378494,12.074616,45.504417,51.214024
77.093567,26.10104,12.04312,45.330177,50.942875
77.128593,26.079233,11.725805,45.701145,51.252804
76.469757,25.793848,11.256524,46.105824,51.499783
76.855255,26.067339,11.59116,45.92598,51.572418
76.588882,26.324987,11.911627,45.774216,51.402927
76.834213,26.358683,11.838402,46.128315,51.688625
76.967377,26.552902,12.032885,45.942825,51.645046
77.289795,26.723345,12.220285,46.089001,51.853252
78.397255,27.121695,12.489569,46.22385,51.906532
78.670609,27.07214,12.440749,46.471157,52.138988
79.112206,27.587423,12.637599,46.836544,52.376225
79.105179,27.420952,12.610042,46.707233,52.298779
79.000053,27.486361,12.522643,46.279568,52.019676
79.294411,27.565622,12.522643,46.161049,51.883545
78.565468,27.300064,12.244693,46.256985,52.019676
79.189301,27.627064,12.425005,45.986141,51.834953
80.394875,28.237478,12.854135,45.997437,51.902981
80.507019,28.078936,12.675394,46.082035,51.907814
79.75705,27.597351,12.388787,45.884575,51.679321
80.149529,27.924339,12.402958,45.974834,51.70853
79.357559,27.252497,11.925013,45.608074,51.445961
79.918243,27.736063,12.155722,46.572964,52.029404
79.904213,27.72616,11.992729,46.392372,52.034233
79.785088,27.904522,12.05257,46.697083,52.136406
79.935623,27.954075,11.984067,46.595543,52.073143
79.633133,27.854979,12.039187,46.629379,52.165543
80.034096,27.866871,12.166739,46.488285,52.092625
80.723511,28.043261,12.383272,46.578598,52.058594
80.470245,28.15226,12.432879,46.860714,52.228718
80.083344,28.049196,12.558862,46.905876,52.267605
79.80899,28.221632,12.451778,46.426258,51.902981
80.139603,28.162174,12.54705,46.71965,52.267605
80.568733,28.34054,12.726576,47.199268,52.36491
79.450226,27.983805,12.567523,47.287624,52.626575
79.407982,28.140373,12.566737,47.786167,52.99271
78.711563,27.676613,12.432094,47.70686,52.870617
78.943741,28.003622,12.594295,47.723862,52.914574
78.395012,27.825251,12.41477,47.752209,52.943886
78.598999,28.061102,12.48091,47.803165,52.963387
78.634201,28.142353,12.448627,47.87117,53.070843
78.690437,28.003622,12.50532,47.729519,52.968288
78.451286,27.84507,12.38564,47.746529,52.99271
77.944763,27.498243,12.321073,47.797493,52.885326
77.881477,27.720207,12.456503,48.431999,53.397923
77.550842,27.742027,12.437605,48.466026,53.43206
78.535675,27.755877,12.490363,48.029755,53.065891
77.086548,27.153399,12.34627,47.899494,53.056171
77.297623,27.300064,12.34627,47.967491,52.934139
76.650391,26.796677,12.133672,48.126068,53.16357
76.502678,26.796677,12.021072,47.899494,53.134274
77.220215,26.963144,12.250208,47.253635,52.763275
77.452347,26.998821,12.246265,47.259319,52.607052
77.782997,27.032513,12.322647,47.366951,52.807194
77.972916,27.131601,12.263588,47.922146,53.183098
78.134727,27.260429,12.202176,47.98468,53.29237
77.529716,27.082054,12.216347,48.178062,53.233528
77.522675,27.078093,12.228162,48.200829,53.37569
76.256432,26.675777,12.149416,48.337307,53.47374
75.166084,26.636145,12.061232,49.150646,53.954056
75.271591,26.606405,12.162021,48.980019,53.963867
76.242371,26.824423,12.299023,48.803696,53.787399
76.087601,26.735229,12.184853,49.014137,53.748226
75.257523,26.437948,12.048633,49.116482,53.821739
75.405228,26.596506,12.067533,49.275757,54.037395
76.186127,26.864054,12.232093,49.105133,53.983448
76.615227,26.883865,12.313984,49.383831,54.277569
77.403091,27.088003,12.459649,49.144955,54.120705
77.177986,27.024582,12.473036,49.26437,54.311897
77.719673,27.151419,12.53524,49.218914,54.115837
77.522675,26.931433,12.602955,48.934494,54.012897
77.628212,26.925491,12.566737,48.962959,53.963867
78.155838,27.210878,12.716339,49.133579,54.218777
78.155838,27.230701,12.733661,49.412262,54.253075
78.402023,27.300064,12.710041,49.378147,54.380547
77.754868,27.200968,12.641537,49.611313,54.591206
78.162865,27.454638,12.696656,49.918434,54.821644
78.310593,27.478422,12.801375,49.969814,54.716812
79.196976,27.765791,12.96043,49.478733,54.485538
78.873375,27.397173,12.822634,49.484467,54.057449
79.393951,27.779671,12.92106,49.433029,54.362503
79.196976,27.765791,12.913189,49.849907,54.5938
79.126633,27.676613,12.952559,49.661461,54.706978
79.534645,27.884708,13.07539,49.735699,54.677471
79.794914,27.983805,13.195071,49.952698,54.864407
79.956726,28.053171,13.190346,50.004124,54.879158
79.351723,27.650848,13.13208,49.889877,54.879158
79.590904,27.833179,13.296642,50.455204,55.194122
79.929237,27.924339,13.385621,50.203964,54.987419
79.448929,27.74995,13.399007,50.535145,55.287605
79.795059,28.183975,13.539163,50.683563,55.307274
78.799026,27.72616,13.334439,51.2089,55.50412
78.375214,27.650848,13.393496,51.003395,55.282681
78.735474,27.686525,13.355703,51.066193,55.263
78.233917,27.547791,13.276175,51.288876,55.454887
78.608315,27.817331,13.440734,51.083298,55.415501
79.003899,27.924339,13.511606,50.586475,55.154701
78.94738,28.023436,13.582471,50.392384,54.992329
80.282478,28.459442,13.842304,50.140663,54.748844
80.416695,28.503046,14.07852,50.215176,54.714302
80.459114,28.518904,13.974586,50.215176,54.941517
81.010101,28.625925,14.136001,49.98587,54.783432
80.141197,28.429718,14.015533,49.767971,54.66489
79.477196,28.627901,13.91317,50.427349,55.198318
79.802116,28.697266,13.985607,50.478958,55.247723
79.49131,28.370262,13.765143,50.593605,55.277367
78.791954,28.172079,13.578531,50.777054,55.489777
78.156189,28.023436,13.393496,51.017899,55.716969
78.594193,28.342514,13.572229,50.840164,55.470005
78.890877,28.455484,13.716326,50.863094,55.563835
78.226875,28.399992,13.650182,50.994999,55.553978
78.071434,28.508999,13.56436,51.34473,55.73674
78.580048,28.67548,13.759633,51.37915,55.687366
77.697044,28.499094,13.661208,51.499519,55.642887
77.605225,28.469355,13.698218,51.539658,55.766342
78.791954,28.627901,13.747821,51.384865,55.707115
79.738525,28.925179,13.984037,50.880302,55.371216
79.978729,29.004459,13.91475,51.04657,55.465057
79.964607,29.004459,13.969076,51.281624,55.642887
80.183571,29.053999,14.073015,50.962727,55.410305
80.211838,29.27993,14.105298,51.037552,55.494625
81.222023,29.62676,14.3108,51.060574,55.38554
82.331024,30.040977,14.527339,51.112385,55.623531
82.84671,30.181673,14.582455,50.55394,55.38554
82.726646,29.9716,14.417885,50.375477,55.152527
82.564156,29.896297,14.510798,50.346695,55.162376
82.627708,29.838829,14.527339,50.156723,55.112827
83.256439,30.163843,14.692686,50.04734,55.117828
83.913383,30.520576,14.940712,50.58849,55.395451
84.119514,30.550306,14.954889,50.634548,55.415298
83.517334,30.292665,14.784026,50.634548,55.38554
84.013275,30.679121,15.117882,51.066383,55.692959
84.126625,30.609755,15.145439,51.221775,55.782261
83.191422,30.411573,14.928905,50.813061,55.48967
